user_id,anime_id,rating,watching_status,watched_episodes
2,34134,9,2,12
2,6893,0,2,2
2,11499,7,2,12
2,29786,8,2,12
2,16498,9,2,25
2,28171,9,2,24
2,32282,0,2,13
2,9253,9,2,24
2,3455,8,2,26
2,22319,8,2,12
2,10851,4,4,2
2,40658,0,6,0
2,29809,0,6,0
2,25397,0,6,0
2,2852,0,6,0
2,1635,0,6,0
2,1636,0,6,0
2,40337,0,6,0
2,39085,0,6,0
2,857,0,6,0
2,9721,0,6,0
2,36625,0,6,0
2,6987,0,6,0
2,8577,0,6,0
2,9849,0,6,0
2,4010,0,6,0
2,16642,0,6,0
2,41261,0,6,0
2,30614,0,6,0
2,4600,0,6,0
2,31101,0,6,0
2,4358,0,6,0
2,39068,0,6,0
2,10697,0,6,0
2,2251,0,6,0
2,32667,0,6,0
2,5081,0,6,0
2,34443,0,6,0
2,36225,0,6,0
2,24641,0,6,0
2,2871,0,6,0
2,972,0,6,0
2,2873,0,6,0
2,5347,0,6,0
2,1401,0,6,0
2,13223,0,6,0
2,889,0,6,0
2,10694,0,6,0
2,2413,0,6,0
2,36456,0,6,0
2,38408,0,6,0
2,36896,0,6,0
2,39565,0,6,0
2,42603,0,6,0
2,40472,0,6,0
2,38252,0,6,0
2,25667,0,6,0
2,5464,0,6,0
2,12293,0,6,0
2,37089,0,6,0
2,6558,0,6,0
2,17543,0,6,0
2,2352,0,6,0
2,37699,0,6,0
2,2025,0,6,0
2,14353,0,6,0
2,34497,0,6,0
2,21001,0,6,0
2,35120,0,6,0
2,18689,0,6,0
2,2432,0,6,0
2,7456,0,6,0
2,3324,0,6,0
2,37405,0,6,0
2,20377,0,6,0
2,37520,0,6,0
2,38691,0,6,0
2,30694,0,6,0
2,31339,0,6,0
2,31886,0,6,0
2,38038,0,6,0
2,37088,0,6,0
2,33393,0,6,0
2,790,0,6,0
2,39365,0,6,0
2,31788,0,6,0
2,10779,0,6,0
2,6702,0,6,0
2,22043,0,6,0
2,35972,0,6,0
2,2134,0,6,0
2,10087,0,6,0
2,11741,0,6,0
2,7053,0,6,0
2,16638,0,6,0
2,33231,0,6,0
2,21829,0,6,0
2,12957,0,6,0
2,2136,0,6,0
2,73,0,6,0
2,5114,0,6,0
2,36876,0,6,0
2,23033,0,6,0
2,24987,0,6,0
2,21521,0,6,0
2,30583,0,6,0
2,28779,0,6,0
2,30243,0,6,0
2,25183,0,6,0
2,239,0,6,0
2,17491,0,6,0
2,29261,0,6,0
2,918,0,6,0
2,9969,0,6,0
2,17729,0,6,0
2,3002,0,6,0
2,31859,0,6,0
2,20583,0,6,0
2,28891,0,6,0
2,32935,0,6,0
2,40262,0,6,0
2,38883,0,6,0
2,40776,0,6,0
2,264,0,6,1
2,265,0,6,0
2,19647,0,6,0
2,34403,0,6,0
2,21855,0,6,0
2,14991,0,6,0
2,5097,0,6,0
2,2798,0,6,0
2,777,0,6,0
2,11077,0,6,0
2,5651,0,6,0
2,9322,0,6,0
2,5630,0,6,0
2,11617,0,6,0
2,934,0,6,0
2,5211,0,6,0
2,33421,0,6,0
2,6337,0,6,0
2,36051,0,6,0
2,31518,0,6,0
2,35512,0,6,0
2,29807,0,6,0
2,37474,0,6,0
2,14659,0,6,0
2,13271,0,6,0
2,19951,0,6,0
2,24273,0,6,0
2,36121,0,6,0
2,29703,0,6,0
2,35936,0,6,0
2,10668,0,6,0
2,19051,0,6,0
2,37360,0,6,0
2,33769,0,6,0
2,2943,0,6,0
2,40010,0,6,0
2,7730,0,6,0
2,22429,0,6,0
2,23479,0,6,0
2,33322,0,6,0
2,10457,0,6,0
2,37224,0,6,0
2,37991,0,6,0
2,18691,0,6,0
2,37281,0,6,0
2,40748,0,6,0
2,19569,0,6,0
2,17745,0,6,0
2,6465,0,6,0
2,30460,0,6,0
2,7411,0,6,0
2,40839,0,6,0
2,3503,0,6,0
2,4760,0,6,0
2,6791,0,6,0
2,7875,0,6,0
2,7712,0,6,0
2,9309,0,6,0
2,12961,0,6,0
2,38031,0,6,0
2,20959,0,6,0
2,6986,0,6,0
2,2868,0,6,0
2,29916,0,6,0
2,32686,0,6,0
2,36903,0,6,0
2,18679,0,6,0
2,35931,0,6,0
2,38000,0,6,0
2,40456,0,6,0
2,38330,0,6,0
2,10460,0,6,0
2,37771,0,6,0
2,3350,0,6,0
2,33191,0,6,0
2,9260,0,6,0
2,31757,0,6,0
2,31758,0,6,0
2,20801,0,6,0
2,4304,0,6,0
2,2403,0,6,0
2,3121,0,6,0
2,4786,0,6,0
2,4195,0,6,0
2,15843,0,6,0
2,18655,0,6,0
2,30831,0,6,0
2,8841,0,6,0
2,14543,0,6,0
2,2841,0,6,0
2,11827,0,6,0
2,36052,0,6,0
2,36689,0,6,0
2,13221,0,6,0
2,22543,0,6,0
2,24911,0,6,0
2,9588,0,6,0
2,10325,0,6,0
2,8111,0,6,0
2,37939,0,6,0
2,11969,0,6,0
